fullName,htmlUrl,apiUrl,description,language,stars,forks,archived,updatedAt,topics,searchQuery,pageStatus,pageVisitedAt,pageError
"kwkuh/chathermes","https://github.com/kwkuh/chathermes","https://api.github.com/repos/kwkuh/chathermes","Build your own Hermes Agent SaaS. Open-source, self-hosted, multi-tenant agent platform on Nous Research's hermes-agent: magic-link auth, Stripe billing, 14 tools, memory, vibe coding, a dedicated agent per paying user. One command to run, one click to deploy.","TypeScript","7","0","false","2026-07-31T20:52:53Z","agent-platform|ai-agent|ai-saas|autonomous-agent|bun|hermes-4|hermes-agent|hono|llm-agent|multi-tenant|nextjs|nous-research|one-click-deploy|open-source|saas|saas-boilerplate|saas-starter|self-hosted|sqlite|vibe-coding","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:51.104Z",""
"Nathan-Somto/designr","https://github.com/Nathan-Somto/designr","https://api.github.com/repos/Nathan-Somto/designr","An AI powered graphic design editor, with live collaborative features and offline editing developed to help creatives bootstrap ideas.","TypeScript","7","0","false","2026-07-08T19:10:33Z","better-auth|collaboration|drizzle-orm|fabricjs|google-oauth|graphic-design|live-blocks|motion|multi-tenant|nextjs|postgresql|react|saas|sentry|sonner|tailwindcss|turborepo|typescript|vercel|xata","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:51.359Z",""
"raptr45/next-learn","https://github.com/raptr45/next-learn","https://api.github.com/repos/raptr45/next-learn","e-learning platform - multi-tenant, saas","TypeScript","6","1","false","2026-07-22T18:35:57Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:51.235Z",""
"donchi4all/multi-tenant-rbac","https://github.com/donchi4all/multi-tenant-rbac","https://api.github.com/repos/donchi4all/multi-tenant-rbac","Role-based access control (RBAC) system for multi-tenant applications","TypeScript","6","0","false","2026-02-23T00:27:28Z","access-control|acl|authorization|multi-tenant|nodejs|rbac|saas|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:51.396Z",""
"deveripon/next-nest-auth-js-starterkit","https://github.com/deveripon/next-nest-auth-js-starterkit","https://api.github.com/repos/deveripon/next-nest-auth-js-starterkit","A production‑ready monorepo starter kit built with Next.js, NestJS, and Auth.js, featuring JWT‑based authentication, full RBAC (Role‑Based Access Control), and a scalable architecture suitable for SaaS, enterprise, and multi‑tenant applications.","TypeScript","6","2","false","2026-01-30T20:24:04Z","authjs|monorepo|nestjs|nextjs|postgres|prisma|shadcn|tailwindcs","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:51.373Z",""
"M-ZohaibAli/SaaS-Project-Management-Platform","https://github.com/M-ZohaibAli/SaaS-Project-Management-Platform","https://api.github.com/repos/M-ZohaibAli/SaaS-Project-Management-Platform","A commercial-grade open-source SaaS project management platform with Kanban boards, RBAC, real-time collaboration, AI insights, multi-tenant organizations, and full analytics suite.","TypeScript","6","0","false","2026-07-29T20:34:46Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:51.271Z",""
"vinimatheus/avocado-saas-starter","https://github.com/vinimatheus/avocado-saas-starter","https://api.github.com/repos/vinimatheus/avocado-saas-starter","Starter SaaS multi-tenant com Next.js 16, Better Auth, Prisma e PostgreSQL, com convites de equipe, cobrança via AbacatePay (Pix/cartão), webhooks seguros e dashboard pronto para deploy na Vercel.","TypeScript","6","1","false","2026-07-06T09:31:17Z","abacatepay|authentication|better-auth|billing|dashboard|multi-tenant|neon|nextjs|payments|pix|postgresql|prisma|rbac|react|saas|saas-starter|shadcn-ui|tailwindcss|typescript|vercel","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.240Z",""
"engmaryamameen/TaskForge","https://github.com/engmaryamameen/TaskForge","https://api.github.com/repos/engmaryamameen/TaskForge","Production-grade multi-tenant SaaS project management platform built with Next.js, NestJS, PostgreSQL, Redis, Stripe, Socket.IO, Docker, and CI/CD.","TypeScript","6","0","false","2026-08-02T13:58:40Z","ci-cd|docker|full-stack|jwt-authentication|kanban|multi-tenant|nestjs|nextjs|postgresql|project-management|rbac|react|redis|saas|socket-io|stripe|tailwindcss|task-management|typescript|websockets","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.338Z",""
"mtguerson/next-saas-rbac","https://github.com/mtguerson/next-saas-rbac","https://api.github.com/repos/mtguerson/next-saas-rbac","🚀 - A Next.js SaaS boilerplate with multi-tenant support, authentication, organization and project management, billing, and role-based access control (RBAC). Ideal for building SaaS platforms with flexible user roles and permissions.","TypeScript","6","0","false","2025-05-05T07:43:50Z","bcryptjs|fastify|nextjs|nodejs|swagger|turborepo|zod","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.151Z",""
"rekey-dev/rekey","https://github.com/rekey-dev/rekey","https://api.github.com/repos/rekey-dev/rekey","Self-hostable auth and billing behind one API. A user's login and their plan live in the same place. MIT licensed.","TypeScript","6","3","false","2026-08-10T10:40:00Z","authentication|billing|mcp|multi-tenant|oauth2|oidc|saas|self-hosted|stripe|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.247Z",""
